"","code","country","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Monaco","Liechtenstein","Switzerland","Spain","Andorra","Portugal","Bavaria","Germany","German Federal Republic","German Democratic Republic","Baden","Wuerttemburg","Poland","Austria-Hungary","Austria","Hungary","Czechoslovakia","Czech Republic","Slovakia","Italy","San Marino","Malta","Albania","Montenegro","Macedonia","Croatia","Yugoslavia","Bosnia and Herzegovina","Kosovo","Slovenia","Greece","Cyprus","Bulgaria","Moldova","Romania","Russia","Estonia","Latvia","Lithuania","Ukraine","Belarus","Armenia","Georgia","Azerbaijan","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Zanzibar","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Eritrea","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","South Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","Turkmenistan","Tajikistan","Kyrgyzstan","Uzbekistan","Kazakhstan","China","Mongolia","Taiwan","Korea","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","East Timor","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Kiribati","Tuvalu","Fiji","Tonga","Nauru","Marshall Islands","Palau","Federated States of Micronesia","Samoa"
"1",1,"United States of America",NA,11046.1,NA,0,31.200001,175.3,160,247,9,NA,NA,NA,NA,NA,NA,1094,NA,81,101,43,59,107,80,255.60001,1047.5,35,NA,86,333,655,24,13,161,165,16,2259.5,131.2,496,692.96191,34.038109,896,NA,NA,480,329,NA,97,NA,NA,-9,9,NA,NA,104,NA,123,5,26,NA,NA,1279,NA,1,0,NA,NA,NA,108,NA,NA,NA,61,1,2,NA,9,55,NA,NA,NA,NA,NA,NA,NA,NA,128,377,159,274,29,NA,NA,NA,0,0.003,0.013,0.352,2.5899999,0,0.308,57,6,0.0060000001,64,17,72,0,17,75,12,12,0.015,0.83099997,37,44,16,21,NA,18,6.1999998,1,NA,47,NA,NA,NA,3,0,4,258,NA,-9,0,0,30,NA,8,NA,10,3,2,118,10,NA,101,72,4,41,3,11,0,137,43,0,NA,0.28,32,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,0,3,413,NA,-9,309,5206.2998,366,NA,77,NA,1,31,0,2,98,3,0.0020000001,6,-9,327,59,NA,449,206,NA,625,NA,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"Canada",10498.3,NA,NA,7.9000001,0.69999999,0.60000002,46.799999,18.1,1.5,NA,NA,NA,NA,NA,NA,65.199997,NA,5,12.9,2.0999999,2,8.8999996,13.7,14.8,351.60001,31.6,NA,8.6999998,2.9000001,42.900002,0.1,1.1,3.3,8.8000002,0.30000001,804.79999,11.3,80.099998,59.09716,2.902838,156.39999,NA,NA,85.400002,29.200001,NA,13.9,NA,NA,-9,3.5,NA,NA,12.6,NA,39.599998,9.3000002,30.6,NA,NA,143.60001,NA,1.3,-9,NA,NA,NA,5.5,NA,NA,NA,4.4000001,0.30000001,1.3,NA,7.3000002,12.5,NA,NA,NA,NA,NA,NA,NA,NA,12.8,86,45.700001,33,0.029999999,NA,NA,NA,0,0,0,0,0,0.30000001,0,4.8000002,0.1,0,0.89999998,0.1,7.6999998,0.0060000001,0.003,22.6,0.1,0,0,0,1.4,6.8000002,5.6999998,4.3000002,NA,0,0,0,NA,0.0020000001,NA,NA,NA,0.1,0,0.60000002,46.700001,NA,0,0,0,0.1,NA,14.4,NA,0.5,0,0.029999999,9,0.30000001,NA,30.700001,3.7,9,1.2,0.0099999998,0.89999998,0,15.3,27.200001,-9,NA,0.40000001,6.1999998,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,27.9,-9,43.200001,NA,0,12.4,504.39999,41.599998,NA,7.1999998,NA,0.1,9.3999996,0,0,1,-9,0,0,-9,35.400002,22.4,NA,4.5999999,0.30000001,NA,98,NA,41.900002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"Cuba",0,37.900002,NA,NA,0,0,0,0,-9,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,31.799999,0,7.3000002,3.5267661,0.1732339,47.099998,NA,NA,9.5,39.259998,NA,0,NA,NA,-9,-9,NA,NA,-9,NA,1,7.5799999,-9,NA,NA,45.099998,NA,0,-9,NA,NA,NA,2.4400001,NA,NA,NA,-9,-9,-9,NA,29.309999,-9,NA,NA,NA,NA,NA,NA,NA,NA,0.74000001,18.200001,2.1800001,4.0900002,0,NA,NA,NA,-9,-9,0,0,-9,0,0,0,-9,-9,0,-9,0,0,0,-9,0,-9,-9,0,-9,-9,-9,-9,NA,0,-9,-9,NA,0,NA,NA,NA,0,-9,-9,-9,NA,-9,-9,-9,-9,NA,0,NA,8.5699997,0,0,-9,0.0060000001,NA,-9,0,-9,0,2.0699999,0,0,0,0,-9,NA,0,-9,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,-9,-9,-9,NA,-9,0,9.8000002,0.0099999998,NA,0,NA,0,0,-9,-9,0,-9,-9,-9,-9,0,1.5700001,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"Haiti",21.777,2.6819999,NA,0.003,NA,0.012,0.20900001,0.206,0,NA,NA,NA,NA,NA,NA,0.078000002,NA,0.001,0.057,0.0040000002,0.34200001,0.0020000001,0,0.046,0.117,0,NA,0,0.003,0.059,0,0,0.024,0.017000001,0,1.7,0.0080000004,1.301,0.95318002,0.04682,1.885,NA,NA,0.40099999,0.092,NA,0.018999999,NA,NA,-9,-9,NA,NA,0.479,NA,0.127,0.215,0.396,NA,NA,0.92500001,NA,0,-9,NA,NA,NA,0,NA,NA,NA,0.0060000001,0,0.37099999,NA,0.112,-9,NA,NA,NA,NA,NA,NA,NA,NA,0.050000001,0.124,0.149,0.27900001,0.014,NA,NA,NA,-9,-9,-9,0,0,-9,-9,0,-9,0,0.001,-9,0,0,0,0,0,0,-9,0,0.0040000002,-9,0,0,NA,-9,0,-9,NA,0,NA,NA,NA,0,0,-9,0.0020000001,NA,-9,-9,-9,0.003,NA,0,NA,0.001,0,0,0,-9,NA,-9,0.0099999998,0,0,0,0.001,0,0,-9,-9,NA,-9,-9,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,0.028000001,-9,0,NA,-9,0,3.266,0.167,NA,0,NA,-9,0,-9,-9,0,0,-9,-9,-9,0,0.0089999996,NA,0.001,0.0020000001,NA,0.028999999,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"Dominican Republic",124,5.8000002,NA,-9,0.21699999,NA,0,0,-9,NA,NA,NA,NA,NA,NA,1.1,NA,0.51099998,3.6040001,0.192,0.039000001,0.117,0.145,0.74000001,4.0999999,0,NA,0.02,0.0099999998,0.2,0,0,0,0.1,0.003,6.9000001,0.0099999998,4.1999998,2.7642219,0.13577791,2.7,NA,NA,2.2,1.4,NA,0.62,NA,NA,-9,-9,NA,NA,-9,NA,0.5,0,-9,NA,NA,6.1999998,NA,0,-9,NA,NA,NA,0,NA,NA,NA,0.0099999998,0,-9,NA,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1.2,2.9200001,1.02,0,NA,NA,NA,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,0,-9,-9,-9,-9,-9,-9,-9,0,-9,NA,-9,-9,-9,NA,0,NA,NA,NA,0,-9,0,-9,NA,-9,-9,-9,-9,NA,0,NA,0,0,-9,0,0,NA,-9,0,0,0,-9,0,0,0.039999999,0,-9,NA,0,-9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,-9,-9,-9,NA,-9,0,20.700001,0.07,NA,0.039999999,NA,0,0,-9,-9,0,-9,-9,-9,-9,0,0.15000001,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"Jamaica",185.423,41.868999,NA,0,0.18799999,0.23,NA,4.1550002,0.116,NA,NA,NA,NA,NA,NA,0.30000001,NA,0.294,3.9170001,0.043000001,1.061,0.056000002,0,0.95999998,22.207001,1.53,NA,0,0.050000001,0.0020000001,0,0,0,1.2589999,0.0020000001,92.818001,0.83999997,5.4130001,3.0692401,0.15076029,6.2789998,NA,NA,3.628,0.27000001,NA,0.25999999,NA,NA,-9,0,NA,NA,0,NA,0.60000002,0,0,NA,NA,4.3410001,NA,0,-9,NA,NA,NA,0.345,NA,NA,NA,0,0,-9,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.63,1.824,1.432,1.1210001,0,NA,NA,NA,-9,0,0,0,-9,0,-9,0,-9,-9,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,NA,0,-9,0,NA,0,NA,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,0,0,9.783,0.41800001,NA,0.23,NA,0,0,-9,-9,0,0,0,-9,-9,0,0.28299999,NA,0,0,NA,6.2189999,NA,6.4699998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Trinidad and Tobago",70.900002,21.65,NA,0,0.011,0.11,3,NA,0.98000002,NA,NA,NA,NA,NA,NA,0.38,NA,0,1.51,0,0,0,0.001,6.4899998,173.5,5.54,NA,0,0.02,3.1099999,0,0,0.029999999,0.72000003,0.018999999,66.860001,1.77,4.23,2.0874641,0.1025357,3.24,NA,NA,0.92000002,0.68000001,NA,1.12,NA,NA,-9,0,NA,NA,0,NA,0.1,0,0,NA,NA,2.4200001,NA,0,0,NA,NA,NA,0,NA,NA,NA,0,0,-9,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0.89999998,1.74,1.45,0,NA,NA,NA,0,0,-9,0,0,0,0,0,0,0,0,0,0,0,0,4.1399999,0,0,0,0,0,0,0,0,NA,-9,0,0,NA,0,NA,NA,NA,0,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,0,18.200001,0,NA,0,0,0,0,0,0,0,0.0099999998,28.35,-9,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,-9,0,NA,0,0,10.01,1.17,NA,0.0099999998,NA,0,0,0,0,0.0099999998,-9,-9,-9,-9,0,0,NA,0,1.05,NA,3.6199999,NA,6.4699998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"Barbados",18,8.1999998,NA,-9,0.017999999,0,1.556,6.7199998,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0.40700001,0,0,0,0,0.11,2.9000001,1.666,NA,0,0,0.27000001,0,0,0,1.1799999,0.026000001,22.700001,0.38999999,0,0,0,0,NA,NA,0.40000001,0,NA,0.2,NA,NA,-9,-9,NA,NA,-9,NA,0,0,-9,NA,NA,0,NA,0,-9,NA,NA,NA,0,NA,NA,NA,0,0,-9,NA,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.2,0,0.83999997,0,NA,NA,NA,-9,0,0,0,0,-9,0,0,-9,-9,0,0,0,-9,-9,0,0,-9,-9,0,0,0,0,0,NA,-9,-9,0,NA,0,NA,NA,NA,0,-9,0,-9,NA,-9,-9,-9,0,NA,0,NA,0,0,0,0,0,NA,-9,0,0,0,0,0,0,0.029999999,0,-9,NA,0,-9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,-9,-9,-9,NA,-9,0,1.6,0.059999999,NA,0,NA,0,0,-9,-9,0,-9,-9,-9,-9,0,0,NA,0,0,NA,0.73000002,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"Dominica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
