"","code","country","United States of America","Canada","Bahamas","Cuba","Haiti","Dominican Republic","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua & Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands","Belgium","Luxembourg","France","Monaco","Liechtenstein","Switzerland","Spain","Andorra","Portugal","Bavaria","Germany","German Federal Republic","German Democratic Republic","Baden","Wuerttemburg","Poland","Austria-Hungary","Austria","Hungary","Czechoslovakia","Czech Republic","Slovakia","Italy","San Marino","Malta","Albania","Montenegro","Macedonia","Croatia","Yugoslavia","Bosnia and Herzegovina","Kosovo","Slovenia","Greece","Cyprus","Bulgaria","Moldova","Romania","Russia","Estonia","Latvia","Lithuania","Ukraine","Belarus","Armenia","Georgia","Azerbaijan","Finland","Sweden","Norway","Denmark","Iceland","Cape Verde","Sao Tome and Principe","Guinea-Bissau","Equatorial Guinea","Gambia","Mali","Senegal","Benin","Mauritania","Niger","Ivory Coast","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Republic","Chad","Congo","Democratic Republic of the Congo","Uganda","Kenya","Tanzania","Zanzibar","Burundi","Rwanda","Somalia","Djibouti","Ethiopia","Eritrea","Angola","Mozambique","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Lesotho","Botswana","Swaziland","Madagascar","Comoros","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","South Sudan","Iran","Turkey","Iraq","Egypt","Syria","Lebanon","Jordan","Israel","Saudi Arabia","Yemen Arab Republic","Yemen","Yemen People's Republic","Kuwait","Bahrain","Qatar","United Arab Emirates","Oman","Afghanistan","Turkmenistan","Tajikistan","Kyrgyzstan","Uzbekistan","Kazakhstan","China","Mongolia","Taiwan","Korea","North Korea","South Korea","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Laos","Vietnam","Republic of Vietnam","Malaysia","Singapore","Brunei","Philippines","Indonesia","East Timor","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Kiribati","Tuvalu","Fiji","Tonga","Nauru","Marshall Islands","Palau","Federated States of Micronesia","Samoa"
"1",1,"United States of America",NA,4169.2998,NA,0,28,151.10001,112,120,NA,NA,NA,NA,NA,NA,NA,661,NA,76,37,44,38,45,34,270,1012.4,NA,NA,85,252,608,21,11,206,178,27,1170.1,46,228,390.0834,19.91658,466,NA,NA,259,107,NA,56,NA,NA,-9,4,NA,NA,46,NA,56,2,11,NA,NA,534,NA,NA,0,NA,NA,NA,50,NA,NA,NA,58,1,1,NA,1,23,NA,NA,NA,NA,NA,NA,NA,NA,67,197,114,136,17,NA,NA,NA,NA,NA,0,0.1,0,0,0.1,31.6,1,0,35,1.2,55,1.4,7,44,9.6000004,3.9000001,0,0.2,58,38.700001,8.8999996,12.1,-9,0,0,1,NA,38,NA,NA,NA,NA,NA,NA,281,NA,NA,NA,NA,20,NA,NA,NA,8,1,1,17,9,NA,71,70,10,22,4,8,0,51,85,0,NA,NA,74,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,0,0,60,NA,-9,26,1623,319,NA,49,NA,1,37,NA,0,42,7,0,3,-9,0,NA,NA,387,123,NA,345,NA,188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"Canada",4535.8999,NA,NA,13.3,1.2,2.3,52.599998,16.200001,NA,NA,NA,NA,NA,NA,NA,24.200001,NA,2.5999999,7,2.0999999,0.40000001,7.5,11.3,13.9,248.39999,NA,NA,7.6999998,3.9000001,37.200001,0.1,0.80000001,1.3,5.5,0.89999998,537.20001,5.4000001,37.400002,45.953732,2.3462701,59.400002,NA,NA,33.099998,8.6999998,NA,7.8000002,NA,NA,-9,1.2,NA,NA,6.9000001,NA,9.1000004,0.69999999,9.3999996,NA,NA,56.400002,NA,NA,-9,NA,NA,NA,1.9,NA,NA,NA,1.7,0.1,0.1,NA,0.1,2.3,NA,NA,NA,NA,NA,NA,NA,NA,2.5,34.099998,24,13.4,0.69999999,NA,NA,NA,NA,NA,0,0,0,0,0,0.2,2.5999999,0,0.1,0,6.5999999,0,0.1,8,0.89999998,0,0,0,2,3.2,5.5999999,6.6999998,-9,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,32.099998,NA,NA,NA,NA,0,NA,NA,NA,0.60000002,0.60000002,0,0,0.1,NA,43.700001,1.3,1.3,0.2,0.40000001,0.1,0,6.1999998,51.299999,-9,NA,NA,5.3000002,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,5.1999998,-9,6.0999999,NA,0,0.40000001,133.10001,54,NA,2.3,NA,0.1,14.9,NA,0,0.69999999,0,0,0,-9,0,NA,NA,2.0999999,0.2,NA,56.799999,NA,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,"Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,"Cuba",37,15.4,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.69999999,NA,0,0,0,0,0,0,0,0.80000001,NA,NA,0,0,2.8,0,0,0.69999999,0,0.5,5.8000002,0,10.9,0,0,4.3000002,NA,NA,0.30000001,9.1999998,NA,0,NA,NA,-9,0,NA,NA,0,NA,0,0,0,NA,NA,1,NA,NA,0,NA,NA,NA,2.8,NA,NA,NA,0,0,0,NA,12.2,0,NA,NA,NA,NA,NA,NA,NA,NA,1,3.7,0.30000001,0.89999998,0,NA,NA,NA,NA,NA,0,0,-9,0,0,0,-9,-9,0,-9,0,0,0,-9,0,0,0,0,-9,-9,-9,-9,-9,0,-9,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,-9,NA,NA,NA,9.3999996,0,0,0,0,NA,0,0,0,10.4,0,0,0,0,0,-9,NA,NA,-9,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,0,-9,0,NA,0,0,2.8,8.8000002,NA,0,NA,0,0,NA,-9,0,-9,-9,0,-9,0,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,"Haiti",20.6,0.89999998,NA,0,NA,0,0,0.89999998,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,1.8,0,1.3,1.0465651,0.0534347,1.2,NA,NA,0.40000001,0.1,NA,0,NA,NA,-9,-9,NA,NA,0,NA,0.1,0,0.40000001,NA,NA,0.89999998,NA,NA,-9,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,0,-9,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.1,0.1,0.30000001,0,NA,NA,NA,NA,NA,-9,0,0,-9,-9,0,-9,0,0,-9,0,0,0,0,0,0,-9,0,0,-9,0,0,-9,-9,0,-9,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,-9,NA,-9,0,0,0,0,0,0,0,-9,-9,NA,NA,-9,NA,NA,NA,NA,-9,NA,NA,NA,NA,NA,0,-9,0,NA,-9,0,0.1,0,NA,0,NA,-9,0,NA,-9,0,0,-9,0,-9,-9,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,"Dominican Republic",88.690002,8.6000004,NA,0,0.25999999,NA,0.14,0.70999998,NA,NA,NA,NA,NA,NA,NA,0.41,NA,0,0,0,0,0,0.52999997,0,3.0999999,NA,NA,0,0.22,0,0,0,0,0.079999998,0,11.87,0,4.9200001,3.0540681,0.1559322,3.4400001,NA,NA,1.11,1.8099999,NA,0.30000001,NA,NA,-9,0.30000001,NA,NA,0.18000001,NA,0.41999999,0.1,0.36000001,NA,NA,5.1100001,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.17,0.82999998,1.22,0.89999998,0,NA,NA,NA,NA,NA,-9,-9,-9,-9,-9,-9,-9,-9,0,-9,-9,-9,0,0,-9,-9,-9,-9,-9,-9,0,0,-9,-9,-9,-9,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0.12,-9,0,0,0,0,-9,NA,NA,-9,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,0,0,11.64,0.47999999,NA,0.77999997,NA,0,0,NA,-9,0,0,0,0,-9,0,NA,NA,0,0.079999998,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,"Jamaica",68.300003,24.6,NA,0,0.80000001,0.18000001,NA,7.8000002,NA,NA,NA,NA,NA,NA,NA,0.2,NA,0,2.3,0,0.30000001,0,0,0,2.7,NA,NA,0,0,0,0,0,0.1,0.40000001,0,58.5,0,13.2,2.2834151,0.1165848,3.8,NA,NA,1,0,NA,0,NA,NA,-9,0,NA,NA,0,NA,0.30000001,0,0.1,NA,NA,2,NA,NA,-9,NA,NA,NA,0,NA,NA,NA,0,0,-9,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1.5,1.3,0.69999999,0,NA,NA,NA,NA,NA,0,0,-9,0,-9,0,-9,-9,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,-9,0,-9,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,0,0,8.3000002,0.60000002,NA,0,NA,0,0,NA,-9,0,0,0,-9,-9,0,NA,NA,0,0,NA,3.3,NA,4.5999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,"Trinidad and Tobago",59.5,17.9,NA,0,0,0,0.80000001,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,0,0.2,0,0.1,0,0,31,71.5,NA,NA,0,0,0.69999999,0,0,0,0.5,0,77.099998,1,7,1.141708,0.0582924,2.2,NA,NA,0.30000001,0.1,NA,0.30000001,NA,NA,-9,0,NA,NA,0,NA,0.1,0,0.5,NA,NA,0,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,-9,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0.80000001,1,0.80000001,0,NA,NA,NA,NA,NA,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-9,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,68.199997,-9,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,-9,0,NA,0,0,3.7,1,NA,0,NA,0,0,NA,0,0,-9,-9,0,-9,0,NA,NA,0,0,NA,2.8,NA,4.8000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,"Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"Dominica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
